P21e;P22e;P21-P22e;P32-P13e;P35-P34e;P37-P33e;P38-P33e;P43-P12e;P46-P45e;P47-P44e;P48-P44e;P50-P49e
Ne;Ne;Ni;Ni;Ni;Ni;E;Ni;N;Ni;Ni;Ni
N;Ne;Ni;Ni;E;Ni;E;E;E;Ni;Ni;E
I;I;N;E;Ne;Ni;E;E;Ni;Ni;Ni;Ni
Ne;Ne;Ni;Ni;E;Ni;E;E;E;Ni;Ni;E
N;N;N;E;E;E;Ni;E;E;Ni;Ni;E
Ne;E;I;Ni;E;Ni;E;E;E;E;E;E
Ni;N;Ni;Ni;E;Ni;Ni;E;E;E;E;E
N;E;I;E;E;Ni;E;E;E;E;E;E
I;Ni;Ni;Ni;E;N;N;Ni;E;N;N;E
Ni;N;Ni;Ni;E;Ni;Ni;Ni;E;Ni;Ni;E
Ni;E;I;E;E;N;E;Ni;E;Ni;Ni;E
N;Ne;Ni;Ni;E;Ni;E;E;E;E;E;E
N;Ne;Ni;E;E;E;Ni;Ni;E;E;E;E
I;Ni;Ni;Ni;E;Ni;Ni;Ni;E;E;E;E
Ni;Ne;I;E;E;E;N;Ni;E;Ni;N;E
Ni;Ni;N;Ni;E;E;E;E;E;E;E;E
N;E;I;Ni;E;Ni;Ni;E;E;Ni;Ni;E
I;Ni;Ni;Ni;E;Ni;Ni;E;E;Ni;Ni;E
I;Ni;Ni;E;E;Ni;E;Ni;E;Ni;Ni;E
N;N;Ne;Ni;E;N;Ni;Ni;E;N;Ni;E
Ni;E;I;Ni;E;Ni;N;E;E;Ni;N;E
Ni;Ni;N;Ni;E;Ni;Ni;E;E;N;Ni;E
N;N;N;Ni;E;Ni;Ni;Ni;E;Ni;Ni;E
N;Ne;Ni;Ni;E;N;N;E;E;N;Ni;E
N;Ne;Ni;Ni;E;Ni;Ni;Ni;E;Ni;Ni;E
N;E;I;E;E;E;E;Ni;E;E;E;E
N;E;I;Ni;E;Ni;E;E;E;N;Ni;E
Ni;Ni;N;E;N;Ni;Ni;Ni;Ne;Ni;Ni;E
Ne;E;Ni;Ni;E;Ni;E;E;E;E;E;E
I;I;Ni;Ni;E;Ni;E;E;E;E;E;E
